set_code,set_name,number,db_card_number,db_name,db_rarity,db_image_url,found_in_scrydex
SV4a,シャイニートレジャーex,183,183,タウンデパート,,https://images.scrydex.com/pokemon/sv4a_ja-183/medium,YES
SV4a,シャイニートレジャーex,184,184,ビーチコート,,https://images.scrydex.com/pokemon/sv4a_ja-184/medium,YES
SV4a,シャイニートレジャーex,185,185,ボウルタウン,,https://images.scrydex.com/pokemon/sv4a_ja-185/medium,YES
SV4a,シャイニートレジャーex,186,186,ポケモンリーグ本部,,https://images.scrydex.com/pokemon/sv4a_ja-186/medium,YES
SV4a,シャイニートレジャーex,187,187,レッスンスタジオ,,https://images.scrydex.com/pokemon/sv4a_ja-187/medium,YES
SV4a,シャイニートレジャーex,188,188,セラピーエネルギー,,https://images.scrydex.com/pokemon/sv4a_ja-188/medium,YES
SV4a,シャイニートレジャーex,189,189,リバーサルエネルギー,,https://images.scrydex.com/pokemon/sv4a_ja-189/medium,YES
SV4a,シャイニートレジャーex,190,190,ルミナスエネルギー,,https://images.scrydex.com/pokemon/sv4a_ja-190/medium,YES
SV4a,シャイニートレジャーex,191,191,ナゾノクサ,S,https://images.scrydex.com/pokemon/sv4a_ja-191/medium,YES
SV4a,シャイニートレジャーex,192,192,クサイハナ,S,https://images.scrydex.com/pokemon/sv4a_ja-192/medium,YES
SV4a,シャイニートレジャーex,193,193,ラフレシア,S,https://images.scrydex.com/pokemon/sv4a_ja-193/medium,YES
SV4a,シャイニートレジャーex,194,194,ストライク,S,https://images.scrydex.com/pokemon/sv4a_ja-194/medium,YES
SV4a,シャイニートレジャーex,195,195,ハネッコ,S,https://images.scrydex.com/pokemon/sv4a_ja-195/medium,YES
SV4a,シャイニートレジャーex,196,196,ポポッコ,S,https://images.scrydex.com/pokemon/sv4a_ja-196/medium,YES
SV4a,シャイニートレジャーex,197,197,ワタッコ,S,https://images.scrydex.com/pokemon/sv4a_ja-197/medium,YES
